Course,Year Level,Category,Comment,Sentiment,Date
BSCS,3,Staff,Sana mas organized ang queue kasi ang tagal naming naghihintay! Please address this.,Negative,2026-08-18
BSIT,2,Payments,"Smooth naman ang payment once my turn came, pero medyo mahaba ang pila. That's all.",Neutral,2026-08-18
BSIS,3,Staff,Hindi consistent ang assistance; may staff na helpful pero may times na parang minamadali kami.,Negative,2026-08-18
BSIS,1,Staff,Sana mas organized ang queue kasi ang tagal naming naghihintay!,Negative,2026-08-18
BSIS,1,Faculty/Professors,"Masyadong maraming requirements sabay-sabay, at hindi laging clear ang priorities ni Sir Adrian.",Negative,2026-08-18
BSIT,1,Facilities,Malinis at maayos ang classrooms! Comfortable gamitin kahit long class.,Positive,2026-08-18
BSIT,1,Facilities,"Okay naman ang classroom facilities, although may ilang chairs na need ng maintenance. So far, okay.",Neutral,2026-08-18
BSIS,2,Payments,"Walang naging hassle sa payment ko—simple, clear, and mabilis!",Positive,2026-08-18
BSIS,3,Facilities,Malinis at maayos ang classrooms! Comfortable gamitin kahit long class. :),Positive,2026-08-18
BSIT,1,Payments,Sana mas organized ang cashier queue dahil ang tagal naming naghihintay. Sana maayos agad!,Negative,2026-08-18
BSIT,2,Staff,Mahaba ang waiting time and kulang minsan ang information na binibigay.,Negative,2026-08-18
BSIS,1,Payments,Clear ang payment instructions and madaling sundan yung steps. :),Positive,2026-08-18
BSIT,2,Facilities,Malinis at maayos ang classrooms! Comfortable gamitin kahit long class.,Positive,2026-08-18
BSCS,4,Staff,Mabilis mag-assist ang staff kapag may kailangan kaming documents. Keep it up!,Positive,2026-08-18
BSIT,3,Staff,Medyo mahirap mag-follow up dahil hindi agad malinaw kung sino ang dapat kausapin.,Negative,2026-08-18
BSIT,2,Staff,Generally okay ang staff. May ilang requests lang na kailangan ng follow-up.,Neutral,2026-08-18
BSEMC,3,Facilities,"Maraming computers sa lab ang mabagal or hindi gumagana, kaya nahihirapan kami.",Negative,2026-08-18
BSCS,1,Payments,Helpful yung cashier kapag may questions about fees and balances.,Positive,2026-08-18
BSCS,4,Staff,Matagal bago kami ma-assist kahit hindi naman ganun karami ang tao.,Negative,2026-08-18
BSIT,3,Staff,"Maayos naman kausap ang staff, although minsan busy sila kaya delayed ang response.",Neutral,2026-08-18
BSIT,2,Faculty/Professors,"Minsan sobrang bilis ng discussion ni Sir Mark, kaya nahihirapan kaming sumabay. Please address this.",Negative,2026-08-18
BSEMC,1,Staff,Very accommodating yung staff! Mabilis silang sumagot kapag may concern kami.,Positive,2026-08-18
BSIT,1,Payments,"Sobrang haba ng pila sa payment, lalo na kapag deadline! Sana ma-improve soon!",Negative,2026-08-18
BSIT,1,Payments,Matagal ang payment verification at kailangan pang mag-follow up.,Negative,2026-08-18
BSCS,1,Faculty/Professors,"Okay ang class ni Sir Adrian. May activities na straightforward, habang yung iba kailangan ng extra time.",Neutral,2026-08-18
BSCS,1,Staff,Matagal bago kami ma-assist kahit hindi naman ganun karami ang tao.,Negative,2026-08-18
BSIS,1,Faculty/Professors,"Masyadong maraming requirements sabay-sabay, at hindi laging clear ang priorities ni Sir Adrian.",Negative,2026-08-18
BSEMC,4,Staff,"Medyo matagal sumagot sa inquiries, especially kapag urgent yung concern.",Negative,2026-08-18
BSEMC,4,Payments,Maayos ang cashier service; mabilis mag-process at polite ang staff. Thank you!,Positive,2026-08-18
BSCS,4,Payments,Helpful yung cashier kapag may questions about fees and balances. Thank you!,Positive,2026-08-18
BSCS,2,Facilities,"Okay naman ang ventilation, pero minsan medyo mainit kapag maraming students. That's all.",Neutral,2026-08-18
BSIT,2,Facilities,"Okay lang naman ang ventilation, pero minsan medyo mainit kapag maraming students. That's all.",Neutral,2026-08-18
BSIT,2,Payments,Nakapagbayad naman ako without major problems; sakto lang ang process.,Neutral,2026-08-18
BSIT,1,Staff,Hindi consistent ang assistance; may staff na helpful pero may times na parang minamadali kami. Please address this.,Negative,2026-08-18
BSIT,1,Payments,Clear ang payment instructions and madaling sundan yung steps.,Positive,2026-08-18
BSEMC,4,Payments,Mabagal ang processing kapag maraming nagbabayad. Sana mas mabilis!,Negative,2026-08-18
BSIT,4,Facilities,"Masikip ang ilang rooms, especially kapag full capacity ang class.",Negative,2026-08-18
BSCS,4,Staff,Okay naman ang staff service; may times lang na kailangan maghintay bago ma-assist. No major issue.,Neutral,2026-08-18
BSIT,2,Payments,Organized ang payment process kahit maraming students.,Positive,2026-08-18
BSCS,2,Facilities,"Okay naman ang ventilation, pero minsan medyo mainit kapag maraming students.",Neutral,2026-08-18
BSIT,1,Faculty/Professors,"Hindi masyadong approachable si Sir Mark kapag may questions, kaya minsan nagdadalawang-isip kaming magtanong. Sana maayos agad!",Negative,2026-08-18
BSIT,2,Faculty/Professors,"Patient si Prof. Santos and willing mag-explain ulit kapag may nalilito. Thank you, sir/ma'am!",Positive,2026-08-18
BSCS,4,Payments,Maayos ang cashier service; mabilis mag-process at polite ang staff. :),Positive,2026-08-18
BSEMC,2,Faculty/Professors,Sakto lang ang interaction sa class ni Sir Mark; sana mas marami pang discussion activities. That's all.,Neutral,2026-08-18
BSEMC,3,Payments,"Sobrang haba ng pila sa payment, lalo na kapag deadline! Sana maayos agad!",Negative,2026-08-18
BSCS,3,Faculty/Professors,"Maayos at malinaw mag-explain si Sir Adrian, and patient siya kapag may hindi kami gets.",Positive,2026-08-18
BSEMC,1,Payments,"Hindi consistent ang information tungkol sa fees, kaya naguguluhan kami.",Negative,2026-08-18
BSEMC,2,Facilities,Minsan sobrang init sa classroom dahil mahina ang aircon or ventilation.,Negative,2026-08-18
BSIT,4,Staff,Hindi consistent ang assistance; may staff na helpful pero may times na parang minamadali kami. Sana maayos agad!,Negative,2026-08-18
BSEMC,4,Payments,"Maayos naman ang instructions sa payment, pero may ilang details na kailangan kong i-confirm.",Neutral,2026-08-18
BSIT,4,Payments,"Clear naman ang amount na kailangan bayaran, although may times na kailangan magtanong.",Neutral,2026-08-18
BSIS,4,Facilities,"Good ang ventilation sa room, kaya hindi masyadong uncomfortable during class.",Positive,2026-08-18
BSCS,3,Staff,Maayos kausap ang staff and respectful sila kahit maraming students na nagtatanong.,Positive,2026-08-18
BSIS,3,Faculty/Professors,"Maayos at malinaw mag-explain si Prof. Santos, and patient siya kapag may hindi kami gets.",Positive,2026-08-18
BSEMC,1,Faculty/Professors,"Okay ang class ni Prof. Cruz. May activities na straightforward, habang yung iba kailangan ng extra time.",Neutral,2026-08-18
BSIT,2,Staff,"Minsan hindi clear ang instructions ng staff, kaya pabalik-balik kami.",Negative,2026-08-18
BSIT,2,Faculty/Professors,Okay naman ang discussion ni Prof. Cruz; may parts lang na kailangan kong balikan pagkatapos ng class.,Neutral,2026-08-18
BSEMC,3,Staff,Medyo mahirap mag-follow up dahil hindi agad malinaw kung sino ang dapat kausapin.,Negative,2026-08-18
BSCS,4,Facilities,Hindi consistent ang cleanliness ng restrooms; sana mas madalas ang maintenance.,Negative,2026-08-18
BSCS,1,Faculty/Professors,"Okay ang class ni Prof. Cruz. May activities na straightforward, habang yung iba kailangan ng extra time.",Neutral,2026-08-18
BSCS,4,Payments,"Minsan hindi clear kung magkano talaga ang kailangan bayaran, kaya nakakalito. Sana maayos agad!",Negative,2026-08-18
BSEMC,2,Payments,Nakapagbayad naman ako without major problems; sakto lang ang process.,Neutral,2026-08-18
BSCS,3,Facilities,Malinis at maayos ang classrooms! Comfortable gamitin kahit long class.,Positive,2026-08-18
BSIS,2,Staff,Hindi consistent ang assistance; may staff na helpful pero may times na parang minamadali kami. Sana ma-improve soon!,Negative,2026-08-18
BSIS,3,Payments,"Maayos naman ang instructions sa payment, pero may ilang details na kailangan kong i-confirm.",Neutral,2026-08-18
BSCS,4,Staff,Friendly and professional yung staff; hindi awkward magtanong kahit paulit-ulit.,Positive,2026-08-18
BSEMC,1,Faculty/Professors,"Ang galing ni Prof. Santos mag-discuss; kahit mahirap yung topic, mas naiintindihan namin.",Positive,2026-08-18
BSIS,3,Facilities,"Walang major problem sa room, pero may ilang small repairs na kailangan.",Neutral,2026-08-18
BSEMC,4,Faculty/Professors,"Masyadong maraming requirements sabay-sabay, at hindi laging clear ang priorities ni Sir Adrian.",Negative,2026-08-18
BSCS,4,Staff,Generally okay ang staff. May ilang requests lang na kailangan ng follow-up.,Neutral,2026-08-18
BSCS,4,Payments,"Okay naman ang payment process, although may waiting time kapag maraming students.",Neutral,2026-08-18
BSEMC,4,Faculty/Professors,"Naiintindihan ko naman ang lectures ni Prof. Cruz, pero may ilang topics na mas okay sana kung may examples.",Neutral,2026-08-18
BSCS,1,Faculty/Professors,"Masyadong maraming requirements sabay-sabay, at hindi laging clear ang priorities ni Ma'am Reyes.",Negative,2026-08-18
BSCS,3,Faculty/Professors,"Okay lang ang class ni Ma'am Reyes. May activities na straightforward, habang yung iba kailangan ng extra time.",Neutral,2026-08-18
BSIS,2,Faculty/Professors,Regular naman ang feedback ni Sir Adrian; minsan lang hindi agad clear sa akin ang ibang comments.,Neutral,2026-08-18
BSIS,2,Staff,Okay lang naman ang staff service; may times lang na kailangan maghintay bago ma-assist.,Neutral,2026-08-18
BSIS,3,Faculty/Professors,"Masyadong maraming requirements sabay-sabay, at hindi laging clear ang priorities ni Prof. Cruz. Please address this.",Negative,2026-08-18
BSIS,4,Staff,"Medyo matagal sumagot sa inquiries, especially kapag urgent yung concern. Sana ma-improve soon!",Negative,2026-08-18
BSIT,1,Payments,Mabagal ang processing kapag maraming nagbabayad. Sana mas mabilis! Medyo frustrating.,Negative,2026-08-18
BSIS,2,Staff,Nakakalito yung process kasi iba-iba ang instructions na naririnig namin.,Negative,2026-08-18
BSEMC,2,Faculty/Professors,"Ang galing ni Sir Mark mag-discuss; kahit mahirap yung topic, mas naiintindihan namin. Salamat po!",Positive,2026-08-18
BSIS,2,Staff,"Nakuha ko naman yung kailangan kong assistance, pero hindi agad-agad.",Neutral,2026-08-18
BSCS,3,Payments,"Smooth naman ang payment once my turn came, pero medyo mahaba ang pila. So far, okay.",Neutral,2026-08-18
BSCS,4,Facilities,"Okay naman ang ventilation, pero minsan medyo mainit kapag maraming students. No major issue.",Neutral,2026-08-18
BSIS,3,Facilities,"Functional naman ang computer lab, pero may ilang units na mabagal.",Neutral,2026-08-18
BSEMC,4,Facilities,Hindi consistent ang cleanliness ng restrooms; sana mas madalas ang maintenance. Please address this.,Negative,2026-08-18
BSIS,3,Faculty/Professors,"Maayos naman magturo si Sir Mark, although minsan mabilis ang pacing ng lesson. So far, okay.",Neutral,2026-08-18
BSIT,3,Staff,Sobrang helpful ng staff sa pag-process ng requests—thank you po!,Positive,2026-08-18
BSCS,1,Staff,Sakto lang ang service; depende rin siguro kung gaano karami ang students. That's all.,Neutral,2026-08-18
BSIT,2,Payments,"Sobrang haba ng pila sa payment, lalo na kapag deadline!",Negative,2026-08-18
BSCS,1,Facilities,Hindi consistent ang cleanliness ng restrooms; sana mas madalas ang maintenance.,Negative,2026-08-18
BSCS,4,Staff,Sakto lang ang service; depende rin siguro kung gaano karami ang students. Overall okay.,Neutral,2026-08-18
BSEMC,2,Facilities,Mahina ang Wi-Fi at madalas mawalan ng connection during online activities. Sana ma-improve soon!,Negative,2026-08-18
BSIS,4,Faculty/Professors,"Minsan sobrang bilis ng discussion ni Ma'am Reyes, kaya nahihirapan kaming sumabay.",Negative,2026-08-18
BSIT,3,Payments,"Okay naman ang payment process, although may waiting time kapag maraming students. So far, okay.",Neutral,2026-08-18
BSIS,2,Faculty/Professors,"Parang kulang sa examples ang discussion ni Sir Mark, especially kapag complicated yung topic.",Negative,2026-08-18
BSIT,1,Facilities,"Usable naman ang Wi-Fi, although may occasional connection issues.",Neutral,2026-08-18
BSEMC,4,Payments,Organized ang payment process kahit maraming students. Keep it up!,Positive,2026-08-18
BSCS,2,Faculty/Professors,"Minsan sobrang bilis ng discussion ni Prof. Cruz, kaya nahihirapan kaming sumabay.",Negative,2026-08-18
BSIS,1,Faculty/Professors,"Minsan sobrang bilis ng discussion ni Prof. Santos, kaya nahihirapan kaming sumabay.",Negative,2026-08-18
BSCS,3,Faculty/Professors,"Very approachable si Sir Adrian, kaya comfortable kaming magtanong kahit basic yung question.",Positive,2026-08-18
BSIS,2,Payments,"Convenient yung payment options, kaya hindi hassle magbayad.",Positive,2026-08-18
BSIS,4,Staff,Mabilis mag-assist ang staff kapag may kailangan kaming documents.,Positive,2026-08-18
BSIS,4,Facilities,Mahina ang Wi-Fi at madalas mawalan ng connection during online activities.,Negative,2026-08-18
BSEMC,4,Facilities,May mga sirang equipment na matagal bago ma-repair. Sana maayos agad!,Negative,2026-08-18
