Category,Sentiment,Comment,Facilities_Bathrooms,Facilities_Cafeteria,Facilities_Classrooms,Facilities_Cleanliness,Facilities_Computers,Facilities_Furniture,Facilities_Monitors,Facilities_Spaces,Payments_Accessibility,Payments_Accounting,Payments_Courteous,Payments_DigitalTrust,Payments_InfoClarity,Payments_Processing,Payments_Queues,Payments_Security,Professor_Approachability,Professor_Clarity,Professor_ClassroomMgmt,Professor_Fairness,Professor_Feedback,Professor_Mastery,Professor_Punctuality,Professor_TeachingQuality,Professor_TeachingStyle,Staff_AdminComm,Staff_Canteen,Staff_Cashier,Staff_Maintenance,Staff_OfficeStaff,Staff_Registrar,Staff_Safety,Staff_Substitute,Rating
Payments,Positive,Tuition had no issues at all.,,,,,,,,,3.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,,,,,,,,,,,,,,,,,,4
Facilities,Positive,"Comfortable naman yung classroom, for real.",5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,4
Facilities,Positive,"Love the library! 😅 Also, the computer lab is not working again today.",5.0,4.0,4.0,5.0,5.0,3.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,4
Professors,Neutral,"Discussion was interesting. 😐, tbh.",,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,,,,,,,,,3
Facilities,Positive,outlets okay na okay lately 😅,3.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,4
Professors,Negative,Nakakatakot magtanong sa kanya - sayang.,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,3.0,,,,,,,,,2
Professors,Neutral,"Honestly, the professor is fair for now this sem. 🙂 On the other hand, ma'am makes lessons easy to follow.",,,,,,,,,,,,,,,,,3.0,5.0,3.0,3.0,2.0,3.0,4.0,1.0,4.0,,,,,,,,,3
Staff,Neutral,"The maintenance team was fine, nothing to add this sem.",,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3
Payments,Negative,"Honestly, the online payment system double-charged me by mistake this week.",,,,,,,,,1.0,2.0,3.0,1.0,4.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,2
Payments,Negative,Sobrang abala ng buong proseso. 🙁 — sa totoo lang.,,,,,,,,,2.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,2
Staff,Positive,Mabait naman sila. 😅 Love how helpful they are.,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,5.0,2.0,3.0,5.0,4.0,4.0,4
Staff,Negative,Hindi masyadong maganda ang serbisyo. 🙂 Parang ayaw talaga tumulong. 😅,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,3
Staff,Positive,"Honestly, the registrar was accommodating. 😭",,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,3.0,2.0,5.0,5.0,5.0,4
Staff,Positive,yung nasa counter sulit ang serbisyo lately 😭,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,4.0,4.0,4.0,3.0,1.0,3
Professors,Neutral,"Good prof, no complaints. 😐 — in general.",,,,,,,,,,,,,,,,,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,,,,,,,,,3
Payments,Negative,"Honestly, the portal took too much time ngayong sem. 🙂 palaging nag-e-error yung portal this week 🙂",,,,,,,,,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,2
Payments,Negative,"Overall, the portal had an unclear breakdown lately.",,,,,,,,,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,2
Facilities,Negative,"Sa ngayon, the cafeteria was in bad shape lately. On the other hand, so far, the gym is too cold lately. 😅",1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,2
Staff,Negative,"Sa ngayon, admin staff took forever to reply. On the other hand, staff handled my concern well lately.",,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,3.0,5.0,1.0,4.0,2
Staff,Negative,Walang respeto sa estudyante. 😭 — grabe.,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2
Staff,Negative,"Sana mas mabilis next time, in general.",,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2
