Course,Year Level,Category,Comment,Sentiment,Date
BSIS,3,Faculty,"Wala siyang syllabus na binigay, kaya hindi namin alam kung ano susunod na topic.",Negative,2026-04-07
BSPSY,1,Staff,salamat po talaga!!,Positive,2026-01-17
BSA-MA,4,Facilities,"FYI, fine naman sa ngayon, tingnan pa natin next sem kung mag-iimprove pa. grabe talaga.",Neutral,2026-11-11
BSA-MA,1,Staff,"Update: sobrang accommodating ng guard sa gate, sinamahan pa ako hanap ng room.",Positive,2026-05-04
BSN,1,Facilities,"Tbh, average lang, wala namang masyadong issue pero wala ring standout. sobra.",Neutral,2026-02-21
BSTM,1,Faculty,"I don't have strong opinions yet, one topic pa lang naman namin sakanya.",Neutral,2026-08-17
BSTM,1,Payments,"Sobrang bagal ng refund process, isang buwan na wala pa rin update.",Negative,2026-05-06
BSPSY,1,Faculty,"Nakakatuwa kasi may extra review session pa siya bago exam, effort talaga.",Positive,2026-07-25
BEED,2,Faculty,Sobrang strict sa attendance pero siya mismo laging late.,Negative,2026-10-04
BSN,1,Facilities,"Btw, grabe ang amoy sa CR, matagal na yatang hindi na-clean. sobra.",Negative,2026-03-13
BSHM,3,Staff,"Honestly, some are helpful, some parang ayaw kausapin, depende sa staff mo makuha. no cap.",Neutral,2026-04-30
BSPSY,3,Payments,"Mabilis na naprocess yung refund ko, hindi ako naghintay ng matagal.",Positive,2026-10-23
BSTM,3,Staff,"Ang bait ng registrar staff, tinulungan ako maghanap ng lost document ko kaninang umaga.",Positive,2026-05-02
BSBA,2,Facilities,"Grabe ang ganda ng new study hub, ang tahimik at maaliwalas pa.",Positive,2026-09-24
BSN,4,Payments,"System nag-error nung nagbabayad ako online, na-charge ako twice. di ko lang masabi kung tama ba ako.",Negative,2026-06-03
BSBA,1,Staff,"Btw, nakakatuwa kasi sinagot agad ni ma'am yung concern ko sa OSA within the day. sana ma-address to.",Positive,2026-10-13
BSTM,2,Staff,Staff sa library super helpful pag naghahanap ka ng reference books.,Positive,2026-11-17
BSCE,4,Faculty,The way she breaks down complex topics into simple steps really works for me.,Positive,2026-10-12
BEED,1,Staff,"Update: very professional and kind, sinagot lahat ng tanong ko about enrollment. no cap.",Positive,2026-06-26
BSCE,4,Payments,"Tbh, may extra charge na hindi ko alam kung saan galing, walang paliwanag binigay. sobra.",Negative,2026-09-26
BSA,4,Faculty,"Btw, sobrang strict sa attendance pero siya mismo laging late. grabe talaga.",Negative,2026-07-29
BSIS,3,Facilities,"Not bad, pero medyo outdated na yung ibang equipment. sana ma-address to.",Neutral,2026-07-12
BSIS,4,Payments,"Nagbayad ako tapos nawala pa yung record, kailangan ko pa i-prove na nagbayad ako.",Negative,2026-05-04
BSN,3,Faculty,"Wow ang bilis niya sumagot sa email, after two weeks lang, ang galing talaga no.",Negative,2026-03-15
BSA-MA,4,Faculty,"Parehas lang siguro sa ibang prof namin, walang kakaiba.",Neutral,2026-01-30
BSHM,4,Faculty,"Unfair yung exam, may mga tanong na hindi naman tinuro sa klase.",Negative,2026-08-02
BSHM,2,Facilities,"New lighting sa hallway mas maliwanag na, safer na maglakad sa gabi.",Positive,2026-07-18
BSN,3,Payments,"Tbh, napakabilis ng transaction ngayon compared last semester, malaking improvement. sana ma-address to.",Positive,2026-04-15
BSA,1,Payments,"Btw, okay lang naman, medyo mabagal pero natapos din naman. no cap.",Neutral,2026-08-19
BSA,1,Payments,"Sa totoo lang, nireject yung payment ko kahit tama naman lahat ng binigay kong details. no cap.",Negative,2026-10-02
BSPSY,2,Facilities,"Maintenance team fixed the leaking faucet within the day, ang bilis. grabe talaga.",Positive,2026-01-27
BSBA,4,Facilities,"Btw, not bad, pero medyo outdated na yung ibang equipment. just saying.",Neutral,2026-11-06
BSTM,1,Facilities,"Just my two cents, projector in our room hasn't worked all semester, laging nangangapa si prof. sana maayos na.",Negative,2026-02-07
BSN,2,Staff,"Update: they're fine most of the time, minsan lang medyo mabagal. grabe talaga.",Neutral,2026-09-03
BSN,3,Faculty,"FYI, sobrang strict sa attendance pero siya mismo laging late. no cap.",Negative,2026-06-05
BSCS,2,Payments,"Okay lang naman, medyo mabagal pero natapos din naman. di ko lang masabi kung tama ba ako.",Neutral,2026-04-08
BSPSY,1,Faculty,"Nice balance of theory and hands-on activities, hindi puro lecture.",Positive,2026-09-03
BSN,2,Faculty,Grading rubric was posted early so alam namin agad ang expectations. sana maayos na.,Positive,2026-07-23
BSN,3,Faculty,"Ang bait niya kausap pero grabe rin pala kasi last minute lang niya binibigay grades namin, sobrang stress.",Negative,2026-05-25
BSED,4,Faculty,"Not sure pa kung effective yung teaching style, kailangan pa siguro ng oras.",Neutral,2026-10-01
BSCE,3,Facilities,"Aircon sa room 305 super sarap na, di na init ng init tulad dati. sobra.",Positive,2026-06-07
