id,category,comment,sentiment
0,Faculty,Sample comment number 0,Positive
1,Staff,Sample comment number 1,Neutral
2,Payment,Sample comment number 2,Negative
3,Facilities,Sample comment number 3,Positive
4,Faculty,Sample comment number 4,Neutral
5,Staff,Sample comment number 5,Negative
6,Payment,Sample comment number 6,Positive
7,Facilities,Sample comment number 7,Neutral
8,Faculty,Sample comment number 8,Negative
9,Staff,Sample comment number 9,Positive
10,Payment,Sample comment number 10,Neutral
11,Facilities,Sample comment number 11,Negative
12,Faculty,Sample comment number 12,Positive
13,Staff,Sample comment number 13,Neutral
14,Payment,Sample comment number 14,Negative
15,Facilities,Sample comment number 15,Positive
16,Faculty,Sample comment number 16,Neutral
17,Staff,Sample comment number 17,Negative
18,Payment,Sample comment number 18,Positive
19,Facilities,Sample comment number 19,Neutral
20,Faculty,Sample comment number 20,Negative
21,Staff,Sample comment number 21,Positive
22,Payment,Sample comment number 22,Neutral
23,Facilities,Sample comment number 23,Negative
24,Faculty,Sample comment number 24,Positive
25,Staff,Sample comment number 25,Neutral
26,Payment,Sample comment number 26,Negative
27,Facilities,Sample comment number 27,Positive
28,Faculty,Sample comment number 28,Neutral
29,Staff,Sample comment number 29,Negative
30,Payment,Sample comment number 30,Positive
31,Facilities,Sample comment number 31,Neutral
32,Faculty,Sample comment number 32,Negative
33,Staff,Sample comment number 33,Positive
34,Payment,Sample comment number 34,Neutral
35,Facilities,Sample comment number 35,Negative
36,Faculty,Sample comment number 36,Positive
37,Staff,Sample comment number 37,Neutral
38,Payment,Sample comment number 38,Negative
39,Facilities,Sample comment number 39,Positive
