Course,Year Level,Category,Comment,Sentiment,Date
BSCS,4,Facilities,"Overall, Standard lang ang kondisyon ng canteen, walang masyadong reklamo. At saka, Manageable naman ang traffic sa hallway kahit peak hours. Sana mapansin ito.",Neutral,2026-08-06
BSIS,2,Staff,"Base sa experience ko, Naramdaman ko na sincere sila sa pagtulong, hindi lang basta trabaho lang para sa kanila. At saka, Ang bait ng staff sa registrar, tinulungan ako agad sa concern ko. Sana mapansin ito.",Positive,2026-08-01
BSN,3,Payments,"Nagka-error yung system nang magbayad ako, kinailangan kong ulitin ng tatlong beses. At saka, Ilang araw bago ma-reflect ang bayad ko sa system, nag-alala ako baka mabansag late.",Negative,2026-08-14
BSIT,2,Payments,"Base sa experience ko, Clear ang breakdown ng fees, walang hidden charges na nakakagulat. Also, Napakabilis maprocess ang refund ko, hindi ko inaasahan na ganoon kabilis. Sana po maayos pa.",Positive,2026-08-21
BSCS,2,Faculty,"Honestly, Hirap kausapin, parang ayaw talaga sumagot sa concerns namin. Kasabay nito, Feeling ko sobrang favoritism, iba yung treatment sa ibang section.",Negative,2026-08-12
BEED,2,Faculty,"For me, Palaging cancelled ang klase pero hindi namin alam kung ano ang gagawin instead. Plus, Sobrang laganap ng typo sa slides, mukhang hindi pa na-proofread. Yun lang po.",Negative,2026-08-02
BSN,4,Facilities,"Base sa experience ko, Marumi ang mga CR, matagal nang hindi na-clean ayon sa nakikita ko. Plus, Palaging discconnect ang wifi, nakakaabala sa mga submission namin. Sana mapansin ito.",Negative,2026-08-20
BSIT,4,Payments,"Base sa experience ko, Maayos ang tracking ng balance ko, laging updated ang statement of account.",Positive,2026-08-01
BEED,2,Staff,"Hindi ma-contact ang office, ilang beses akong tumawag walang sumasagot. Sana mapansin ito.",Negative,2026-08-14
BSIS,3,Staff,"Overall, Ang galing ng customer service, sinagot lahat ng tanong ko nang maayos. Yun lang po.",Positive,2026-08-15
BSIT,1,Payments,"Base sa experience ko, Gumagana naman ang portal kahit minsan medyo mabagal mag-load. Standard lang ang fees, wala namang malaking pagbabago kumpara noon.",Neutral,2026-08-04
BSIT,1,Staff,"Overall, Naramdaman ko na sincere sila sa pagtulong, hindi lang basta trabaho lang para sa kanila. Solved agad nila yung concern ko kahit medyo complicated pa yun.",Positive,2026-08-18
BSBA,2,Facilities,Sobrang init sa loob ng room kasi sira ang aircon for weeks na. Sana ma-continue.,Negative,2026-08-04
BSN,4,Facilities,"Base sa experience ko, Ang linis at ayos ng library ngayon, sobrang conducive mag-aral. Plus, Salamat sa maayos na CRs, laging malinis kapag pumupunta ako. Sana po maayos pa.",Positive,2026-08-07
BSIS,3,Faculty,"For me, Okay lang naman ang klase, standard lang, walang masyadong kakaiba. At saka, Medyo puro lecture pero at least clear naman ang mga concepts.",Neutral,2026-08-04
BSCS,4,Faculty,"Honestly, Nakakatuwa kasi may humor pa sa gitna ng mahirap na lesson, hindi nakakaantok. Patient siya sa mga tanong namin kahit paulit-ulit, sobrang bait niya explain ng explain. Sana mapansin ito.",Positive,2026-08-03
BSIT,3,Faculty,"Sobrang helpful ng consultation hours, laging may time para sa amin. Sana po maayos pa.",Positive,2026-08-10
BSIT,3,Payments,"Nag-crash ang portal habang nagbabayad ako, hindi ko alam kung na-charge na ako o hindi. Also, Nahirapan akong makipag-ayos sa refund ko, sobrang tagal ng proseso. That's it naman.",Negative,2026-08-20
BSIS,1,Facilities,"Honestly, Ang ganda ng bagong study hub, sulit gamitin lalo na tuwing exam week. Also, Ang linis at ayos ng library ngayon, sobrang conducive mag-aral.",Positive,2026-08-18
BSN,3,Staff,"Approachable sila lalo na yung nasa front desk, madali lang lapitan. Nagpapasalamat ako sa tulong nila, naayos agad yung isyu ko sa records.",Positive,2026-08-18
BSCS,1,Staff,"Sa totoo lang, Fine lang ang experience ko, wala akong major issue sa transaction. Dagdag pa rito, Nagawa naman yung request ko, konting hintay lang pero okay pa rin. Sana po maayos pa.",Neutral,2026-08-02
BSIS,3,Payments,"Base sa experience ko, Manageable ang installment plan, kahit papaano nakakaabot naman ako. Standard lang ang fees, wala namang malaking pagbabago kumpara noon.",Neutral,2026-08-01
BSCS,1,Staff,"Sa totoo lang, Ang bait ng staff sa registrar, tinulungan ako agad sa concern ko. At saka, Naramdaman ko na sincere sila sa pagtulong, hindi lang basta trabaho lang para sa kanila. Sana mapansin ito.",Positive,2026-08-04
BSIT,4,Facilities,"Honestly, Sapat naman ang espasyo sa classroom kahit medyo crowded minsan.",Neutral,2026-08-01
BSIT,2,Staff,"Honestly, Nakakalungkot kasi kulang ang staff kaya matagal talaga ang serbisyo. Sana po maayos pa.",Negative,2026-08-20
BSIT,3,Facilities,"Sa totoo lang, Kulang ang ilaw sa hallway kaya madilim tuwing gabi may klase pa. Yun lang po.",Negative,2026-08-12
BEED,4,Faculty,"For me, Hindi makasagot ng maayos sa mga tanong, parang hindi rin sure sa topic. At saka, Sobrang laganap ng typo sa slides, mukhang hindi pa na-proofread. That's it naman.",Negative,2026-08-20
BSCS,3,Faculty,"Honestly, Nahihirapan akong sumunod sa lecture kasi sobrang bilis at walang recap. Also, Wala akong natutunan sa buong semester, puro readings na wala namang discussion. Yun lang po.",Negative,2026-08-08
BSN,1,Faculty,"Ok lang ang setup, minsan mabilis mag-move sa next topic pero survivable.",Neutral,2026-08-15
BSIS,1,Faculty,"Grading criteria hindi malinaw, iba-iba ang score kahit parehas lang ang sagot.",Negative,2026-08-19
BSBA,2,Faculty,"Overall, Parang galit palagi kapag nagtatanong kami, nakakatakot lumapit. Dagdag pa rito, Hindi makasagot ng maayos sa mga tanong, parang hindi rin sure sa topic.",Negative,2026-08-11
BSN,2,Payments,"Overall, Napakabilis maprocess ang refund ko, hindi ko inaasahan na ganoon kabilis. Kasabay nito, Ang bilis ng confirmation pagkatapos magbayad, walang problema sa receipt. Sana ma-continue.",Positive,2026-08-12
BSBA,4,Facilities,"Honestly, Maayos na ang signage sa buong campus, hindi na ako nalilito saan pupunta. Sana po maayos pa.",Positive,2026-08-10
BSIS,1,Faculty,"For me, Sobrang laganap ng typo sa slides, mukhang hindi pa na-proofread. Dagdag pa rito, Palaging cancelled ang klase pero hindi namin alam kung ano ang gagawin instead.",Negative,2026-08-19
BEED,4,Facilities,"Base sa experience ko, Maayos na ang signage sa buong campus, hindi na ako nalilito saan pupunta. Dagdag pa rito, Ang linis at ayos ng library ngayon, sobrang conducive mag-aral. Sana po maayos pa.",Positive,2026-08-02
BSIT,2,Payments,"Honestly, Sapat naman ang info na nakalagay sa invoice, though pwede pa dagdagan ng detalye. Okay lang ang proseso, walang malaking hassle sa pagbabayad.",Neutral,2026-08-08
BSA,4,Payments,"For me, Standard lang ang fees, wala namang malaking pagbabago kumpara noon. That's it naman.",Neutral,2026-08-18
BSIT,4,Payments,"Sobrang convenient ng bagong payment portal, hindi na kailangan pumila. That's it naman.",Positive,2026-08-12
BEED,4,Faculty,"For me, Minsan late siya pumasok pero mahigpit sa amin kapag nahuli kami. Kasabay nito, Late palagi mag-post ng grades kaya hindi namin alam kung saan kami kulang. Sana mapansin ito.",Negative,2026-08-19
BSIS,1,Faculty,"Sobrang harsh ng comments sa papers namin, hindi constructive. Sana ma-continue.",Negative,2026-08-08
BEED,4,Facilities,"Gumagana naman ang mga equipment kahit medyo luma na. Plus, Standard lang ang kondisyon ng canteen, walang masyadong reklamo. Sana po maayos pa.",Neutral,2026-08-17
BSA,3,Facilities,"Maganda na ang wifi sa campus, hindi na nade-delay ang mga online activities namin. At saka, Napansin kong mas maayos na ang aircon sa mga labs, hindi na sobrang init. That's it naman.",Positive,2026-08-17
BEED,1,Faculty,"For me, Feeling ko mas naintindihan ko ang subject dahil sa paraan ng pagtuturo niya kumpara sa ibang prof. Kasabay nito, Kudos talaga, hindi boring ang lecture kahit tatlong oras. Sana ma-continue.",Positive,2026-08-15
BSBA,3,Faculty,"Overall, Buong klase, sobrang engaged lahat kasi may mga case studies na kawili-wili. At saka, Sobrang organized ng modules and lahat ng deadlines clear from day one.",Positive,2026-08-14
BSA,3,Payments,"Base sa experience ko, Napakabilis maprocess ang refund ko, hindi ko inaasahan na ganoon kabilis. Also, Sobrang convenient ng bagong payment portal, hindi na kailangan pumila.",Positive,2026-08-19
BSCS,2,Facilities,"Sa totoo lang, Kulang ang ilaw sa hallway kaya madilim tuwing gabi may klase pa. Dagdag pa rito, Palaging discconnect ang wifi, nakakaabala sa mga submission namin. Sana ma-continue.",Negative,2026-08-20
BSCS,4,Facilities,"Base sa experience ko, Sobrang comfortable ng bagong chairs sa classroom, hindi na masakit ang likod. Maayos na ang signage sa buong campus, hindi na ako nalilito saan pupunta. Sana ma-continue.",Positive,2026-08-18
BSIT,3,Staff,"Karaniwang klase ng service, hindi masama pero hindi rin sobrang astig.",Neutral,2026-08-11
BSIT,1,Facilities,"Sa totoo lang, Sira ang projector kaya hirap kaming makita ang mga slides. Kasabay nito, Marumi ang mga CR, matagal nang hindi na-clean ayon sa nakikita ko. That's it naman.",Negative,2026-08-19
BSIT,2,Facilities,"Overall, Marumi ang mga CR, matagal nang hindi na-clean ayon sa nakikita ko. Also, Kulang ang ilaw sa hallway kaya madilim tuwing gabi may klase pa.",Negative,2026-08-12
BSCS,3,Faculty,"Base sa experience ko, Nakakalito ang instructions, iba-iba ang sinasabi kada session. Sana ma-continue.",Negative,2026-08-01
BSBA,4,Facilities,"Sa totoo lang, Maputik at madulas ang daanan tuwing umuulan, delikado talaga. Plus, Marumi ang mga CR, matagal nang hindi na-clean ayon sa nakikita ko.",Negative,2026-08-17
BSCS,2,Payments,"Base sa experience ko, Okay lang ang proseso, walang malaking hassle sa pagbabayad. Dagdag pa rito, Nagawa naman ang bayad ko kahit medyo malabo yung instructions sa simula. Sana ma-continue.",Neutral,2026-08-07
BSIT,1,Payments,"For me, Nag-crash ang portal habang nagbabayad ako, hindi ko alam kung na-charge na ako o hindi. Sana ma-continue.",Negative,2026-08-10
BSN,2,Staff,"Nagawa ang kailangan ko kahit medyo kailangan kong balikan ng ilang beses. Kasabay nito, Sinagot naman lahat ng katanungan ko kahit hindi masyadong detalyado. Sana po maayos pa.",Neutral,2026-08-18
BEED,3,Faculty,"Overall, Feeling ko sobrang favoritism, iba yung treatment sa ibang section. Sana po maayos pa.",Negative,2026-08-21
BSA,1,Payments,"Base sa experience ko, Hindi pantay ang na-post na balance ko sa totoong binayaran ko.",Negative,2026-08-11
BSA,3,Facilities,"Sa totoo lang, Manageable naman ang traffic sa hallway kahit peak hours. Kasabay nito, Gumagana naman ang mga equipment kahit medyo luma na. Yun lang po.",Neutral,2026-08-09
BSIT,2,Staff,"Honestly, Naramdaman ko na sincere sila sa pagtulong, hindi lang basta trabaho lang para sa kanila. Napakabilis at organized ng proseso, isang beses lang ako pumunta tapos na agad. Sana po maayos pa.",Positive,2026-08-02
BSIS,2,Faculty,"Overall, Consistent naman sa schedule pero konti lang ang interaction sa class.",Neutral,2026-08-11
BSIS,3,Faculty,"Sa totoo lang, Feeling ko sobrang favoritism, iba yung treatment sa ibang section. At saka, Grabe ang dami ng requirements na binigay overnight lang, sobrang stressful. Sana mapansin ito.",Negative,2026-08-21
BSA,4,Payments,"Base sa experience ko, Hindi pantay ang na-post na balance ko sa totoong binayaran ko. At saka, Sobrang taas ng miscellaneous fees na hindi naman malinaw kung para saan. Yun lang po.",Negative,2026-08-18
BSCS,2,Payments,"Sobrang taas ng miscellaneous fees na hindi naman malinaw kung para saan. Dagdag pa rito, Nahirapan akong makipag-ayos sa refund ko, sobrang tagal ng proseso.",Negative,2026-08-19
BSIT,2,Staff,"Friendly talaga sila kausap, hindi ka mararamdamang burden kahit maraming tanong. Plus, Salamat sa staff na patient magpaliwanag ng steps para sa clearance ko. Sana mapansin ito.",Positive,2026-08-05
BSBA,3,Facilities,"Matagal nang sira ang aircon pero wala pa ring inaayos. At saka, Sobrang init sa loob ng room kasi sira ang aircon for weeks na. Sana ma-continue.",Negative,2026-08-09
BSBA,1,Payments,"Nagawa naman ang bayad ko kahit medyo malabo yung instructions sa simula. Manageable ang installment plan, kahit papaano nakakaabot naman ako. Yun lang po.",Neutral,2026-08-02
BEED,3,Facilities,"Base sa experience ko, Palaging discconnect ang wifi, nakakaabala sa mga submission namin. Sana mapansin ito.",Negative,2026-08-13
BSA,3,Faculty,"Hindi makasagot ng maayos sa mga tanong, parang hindi rin sure sa topic. Late palagi mag-post ng grades kaya hindi namin alam kung saan kami kulang. Yun lang po.",Negative,2026-08-18
BSIS,2,Payments,"Base sa experience ko, Madali lang mag-bayad online, ilang minuto lang tapos na agad ang transaction. Also, Maayos ang tracking ng balance ko, laging updated ang statement of account.",Positive,2026-08-01
BSIS,4,Facilities,Kulang ang ilaw sa hallway kaya madilim tuwing gabi may klase pa. Sana mapansin ito.,Negative,2026-08-09
BSIT,2,Facilities,"Sa totoo lang, Sobrang comfortable ng bagong chairs sa classroom, hindi na masakit ang likod. Kasabay nito, Well-maintained ang mga equipment sa laboratory, gumagana lahat nang maayos. Sana po maayos pa.",Positive,2026-08-07
BSBA,1,Payments,"Base sa experience ko, Clear ang breakdown ng fees, walang hidden charges na nakakagulat. Sana po maayos pa.",Positive,2026-08-09
BSA,4,Facilities,"Base sa experience ko, Sapat naman ang espasyo sa classroom kahit medyo crowded minsan. Plus, Okay lang naman ang mga pasilidad, wala namang malaking problema. That's it naman.",Neutral,2026-08-13
